Time, Pressure 1, Pressure 2, Pressure 3, Pressure 4
0.0000, -2.6098, -1.3049, -0.8699, -0.6524
0.0603, -2.4107, -1.2054, -0.8036, -0.6027
0.1206, -2.8630, -1.4315, -0.9543, -0.7157
0.1809, -2.3940, -1.1970, -0.7980, -0.5985
0.2412, -2.7162, -1.3581, -0.9054, -0.6790
0.3015, -2.7447, -1.3724, -0.9149, -0.6862
0.3618, -2.2827, -1.1413, -0.7609, -0.5707
0.4221, -2.4551, -1.2275, -0.8184, -0.6138
0.4824, -2.7418, -1.3709, -0.9139, -0.6854
0.5427, -2.2383, -1.1192, -0.7461, -0.5596
0.6030, -2.6748, -1.3374, -0.8916, -0.6687
0.6633, -2.3457, -1.1729, -0.7819, -0.5864
0.7236, -2.6856, -1.3428, -0.8952, -0.6714
0.7839, -2.6334, -1.3167, -0.8778, -0.6583
0.8442, -2.1211, -1.0605, -0.7070, -0.5303
0.9045, -2.8393, -1.4197, -0.9464, -0.7098
0.9648, -2.2689, -1.1344, -0.7563, -0.5672
1.0251, -2.2738, -1.1369, -0.7579, -0.5684
1.0854, -2.9516, -1.4758, -0.9839, -0.7379
1.1457, -2.2334, -1.1167, -0.7445, -0.5583
1.2060, -2.9851, -1.4926, -0.9950, -0.7463
1.2663, -2.9635, -1.4817, -0.9878, -0.7409
1.3266, -2.2748, -1.1374, -0.7583, -0.5687
1.3869, -2.8531, -1.4266, -0.9510, -0.7133
1.4472, -2.3349, -1.1674, -0.7783, -0.5837
1.5075, -2.2787, -1.1394, -0.7596, -0.5697
1.5678, -2.5763, -1.2881, -0.8588, -0.6441
1.6281, -2.3743, -1.1871, -0.7914, -0.5936
1.6884, -2.7102, -1.3551, -0.9034, -0.6776
1.7487, -2.3408, -1.1704, -0.7803, -0.5852
1.8090, -2.5181, -1.2591, -0.8394, -0.6295
1.8693, -2.7743, -1.3871, -0.9248, -0.6936
1.9296, -2.4029, -1.2014, -0.8010, -0.6007
1.9899, -2.6827, -1.3413, -0.8942, -0.6707
2.0503, -2.8689, -1.4344, -0.9563, -0.7172
2.1106, -2.4068, -1.2034, -0.8023, -0.6017
2.1709, -2.6452, -1.3226, -0.8817, -0.6613
2.2312, 30.1149, 15.0575, 10.0383, 7.5287
2.2915, 45.4669, 22.7335, 15.1556, 11.3667
2.3518, 44.3398, 22.1699, 14.7799, 11.0850
2.4121, 39.6067, 19.8034, 13.2022, 9.9017
2.4724, 35.5071, 17.7536, 11.8357, 8.8768
2.5327, 56.2287, 28.1143, 18.7429, 14.0572
2.5930, 59.9420, 29.9710, 19.9807, 14.9855
2.6533, 58.7469, 29.3735, 19.5823, 14.6867
2.7136, 59.3253, 29.6626, 19.7751, 14.8313
2.7739, 60.2879, 30.1439, 20.0960, 15.0720
2.8342, 60.3647, 30.1824, 20.1216, 15.0912
2.8945, 59.1460, 29.5730, 19.7153, 14.7865
2.9548, 59.0711, 29.5355, 19.6904, 14.7678
3.0151, 56.9203, 28.4602, 18.9734, 14.2301
3.0754, 55.4819, 27.7409, 18.4940, 13.8705
3.1357, 55.4533, 27.7266, 18.4844, 13.8633
3.1960, 55.4966, 27.7483, 18.4989, 13.8742
3.2563, 55.7853, 27.8927, 18.5951, 13.9463
3.3166, 53.3784, 26.6892, 17.7928, 13.3446
3.3769, 52.3104, 26.1552, 17.4368, 13.0776
3.4372, 51.2247, 25.6123, 17.0749, 12.8062
3.4975, 50.0759, 25.0379, 16.6920, 12.5190
3.5578, 48.4167, 24.2084, 16.1389, 12.1042
3.6181, 46.9881, 23.4941, 15.6627, 11.7470
3.6784, 44.5477, 22.2738, 14.8492, 11.1369
3.7387, 44.9014, 22.4507, 14.9671, 11.2253
3.7990, 44.4245, 22.2123, 14.8082, 11.1061
3.8593, 42.6028, 21.3014, 14.2009, 10.6507
3.9196, 42.5329, 21.2664, 14.1776, 10.6332
3.9799, 42.1871, 21.0935, 14.0624, 10.5468
4.0402, 41.2875, 20.6438, 13.7625, 10.3219
4.1005, 40.9407, 20.4704, 13.6469, 10.2352
4.1608, 40.1634, 20.0817, 13.3878, 10.0408
4.2211, 40.2846, 20.1423, 13.4282, 10.0711
4.2814, 39.4008, 19.7004, 13.1336, 9.8502
4.3417, 39.6432, 19.8216, 13.2144, 9.9108
4.4020, 39.0944, 19.5472, 13.0315, 9.7736
4.4623, 39.3456, 19.6728, 13.1152, 9.8364
4.5226, 39.0983, 19.5492, 13.0328, 9.7746
