Time,Pressure
0,-2.6098
0.0603,-2.4107
0.1206,-2.863
0.1809,-2.394
0.2412,-2.7162
0.3015,-2.7447
0.3618,-2.2827
0.4221,-2.4551
0.4824,-2.7418
0.5427,-2.2383
0.603,-2.6748
0.6633,-2.3457
0.7236,-2.6856
0.7839,-2.6334
0.8442,-2.1211
0.9045,-2.8393
0.9648,-2.2689
1.0251,-2.2738
1.0854,-2.9516
1.1457,-2.2334
1.206,-2.9851
1.2663,-2.9635
1.3266,-2.2748
1.3869,-2.8531
1.4472,-2.3349
1.5075,-2.2787
1.5678,-2.5763
1.6281,-2.3743
1.6884,-2.7102
1.7487,-2.3408
1.809,-2.5181
1.8693,-2.7743
1.9296,-2.4029
1.9899,-2.6827
2.0503,-2.8689
2.1106,-2.4068
2.1709,-2.6452
2.2312,30.1149
2.2915,45.4669
2.3518,44.3398
2.4121,39.6067
2.4724,35.5071
2.5327,56.2287
2.593,59.942
2.6533,58.7469
2.7136,59.3253
2.7739,60.2879
2.8342,60.3647
2.8945,59.146
2.9548,59.0711
3.0151,56.9203
3.0754,55.4819
3.1357,55.4533
3.196,55.4966
3.2563,55.7853
3.3166,53.3784
3.3769,52.3104
3.4372,51.2247
3.4975,50.0759
3.5578,48.4167
3.6181,46.9881
3.6784,44.5477
3.7387,44.9014
3.799,44.4245
3.8593,42.6028
3.9196,42.5329
3.9799,42.1871
4.0402,41.2875
4.1005,40.9407
4.1608,40.1634
4.2211,40.2846
4.2814,39.4008
4.3417,39.6432
4.402,39.0944
4.4623,39.3456
4.5226,39.0983
4.5829,38.1663
4.6432,37.8845
4.7035,38.0382
4.7638,37.8569
4.8241,37.3456
4.8844,37.6481
4.9447,36.9623
5.005,36.853
5.0653,36.0648
5.1256,36.4835
5.1859,35.2086
5.2462,35.185
5.3065,34.246
5.3668,34.1751
5.4271,34.0726
5.4874,33.6923
5.5477,33.6184
5.608,33.3386
5.6683,33.1002
5.7286,32.5928
5.7889,32.4913
5.8492,31.514
5.9095,31.2805
5.9698,30.9021
6.0302,30.8391
6.0905,31.4499
6.1508,30.9997
6.2111,30.2598
6.2714,30.5691
6.3317,30.6282
6.392,30.3415
6.4523,30.0588
6.5126,30.4814
6.5729,30.4696
6.6332,31.114
6.6935,30.3425
6.7538,30.5888
6.8141,30.0085
6.8744,30.4174
6.9347,30.4223
6.995,30.3573
7.0553,30.3199
7.1156,30.3346
7.1759,30.3445
7.2362,30.2864
7.2965,30.6539
7.3568,30.5159
7.4171,30.5593
7.4774,30.8785
7.5377,31.4036
7.598,31.1021
7.6583,32.3465
7.7186,32.3307
7.7789,32.6421
7.8392,31.7031
7.8995,32.4017
7.9598,31.9662
8.0201,33.8007
8.0804,33.05
8.1407,33.2864
8.201,33.8569
8.2613,34.0628
8.3216,35.0559
8.3819,35.0529
8.4422,35.2953
8.5025,35.252
8.5628,35.8342
8.6231,36.4264
8.6834,35.7732
8.7437,35.9121
8.804,36.2904
8.8643,41.5319
8.9246,46.0778
8.9849,45.7103
9.0452,43.5319
9.1055,43.3634
9.1658,43.9181
9.2261,44.8078
9.2864,45.5241
9.3467,47.4285
9.407,49.6187
9.4673,52.0355
9.5276,54.0306
9.5879,56.4888
9.6482,58.0543
9.7085,60.1755
9.7688,62.0278
9.8291,63.1145
9.8894,64.5983
9.9497,65.2879
10.0101,44.5792
10.0704,12.9984
10.1307,2.3174
10.191,-0.0422
10.2513,-1.0452
10.3116,-0.9821
10.3719,-1.2265
10.4322,-1.6068
10.4925,-1.5674
10.5528,-1.6344
10.6131,-1.3437
10.6734,-1.3555
10.7337,-1.9871
10.794,-1.8373
10.8543,-1.9339
10.9146,-1.5211
10.9749,-1.5575
11.0352,-1.9073
11.0955,-1.5014
11.1558,-2.0649
11.2161,-2.2472
11.2764,-1.9004
11.3367,-2.2511
11.397,-1.6689
11.4573,-1.7211
11.5176,-2.3093
11.5779,-1.8255
11.6382,-2.1881
11.6985,-2.0915
11.7588,-1.79
11.8191,-2.3496
11.8794,-2.0078
11.9397,-2.0373
12,-2.0452
